id,label,source,score
http://dbpedia.org/resource/Kural,Kural,http://dbpedia.org/resource/Kural,354.84
http://dbpedia.org/resource/Timeline_of_science_fiction,Timeline of science fiction,http://dbpedia.org/resource/Timeline_of_science_fiction,353.53000000000003
http://dbpedia.org/resource/One_Thousand_and_One_Nights,One Thousand and One Nights,http://dbpedia.org/resource/One_Thousand_and_One_Nights,263.965
http://dbpedia.org/resource/1001_Children's_Books_You_Must_Read_Before_You_Grow_Up,1001 Children's Books You Must Read Before You Grow Up,http://dbpedia.org/resource/1001_Children's_Books_You_Must_Read_Before_You_Grow_Up,239.58999999999997
http://dbpedia.org/resource/Sumerian_King_List,Sumerian King List,http://dbpedia.org/resource/Sumerian_King_List,217.125
http://dbpedia.org/resource/Final_Report_of_the_Task_Force_on_Combating_Terrorist_and_Foreign_Fighter_Travel,Final Report of the Task Force on Combating Terrorist and Foreign Fighter Travel,http://dbpedia.org/resource/Final_Report_of_the_Task_Force_on_Combating_Terrorist_and_Foreign_Fighter_Travel,213.46499999999997
http://dbpedia.org/resource/Marthandavarma_(novel),Marthandavarma (novel),http://dbpedia.org/resource/Marthandavarma_(novel),211.62
http://dbpedia.org/resource/The_Lord_of_the_Rings,The Lord of the Rings,http://dbpedia.org/resource/The_Lord_of_the_Rings,211.53000000000003
http://dbpedia.org/resource/In_His_Own_Write,In His Own Write,http://dbpedia.org/resource/In_His_Own_Write,201.59
http://dbpedia.org/resource/On_the_Origin_of_Species,On the Origin of Species,http://dbpedia.org/resource/On_the_Origin_of_Species,201.54
http://dbpedia.org/resource/The_Great_Gatsby,The Great Gatsby,http://dbpedia.org/resource/The_Great_Gatsby,198.455
http://dbpedia.org/resource/The_Spirit_of_the_Age,The Spirit of the Age,http://dbpedia.org/resource/The_Spirit_of_the_Age,191.08500000000004
http://dbpedia.org/resource/An_End_to_al-Qaeda,An End to al-Qaeda,http://dbpedia.org/resource/An_End_to_al-Qaeda,186.0
http://dbpedia.org/resource/Cosmic_Consciousness,Cosmic Consciousness,http://dbpedia.org/resource/Cosmic_Consciousness,181.97000000000003
http://dbpedia.org/resource/Spin_Alternative_Record_Guide,Spin Alternative Record Guide,http://dbpedia.org/resource/Spin_Alternative_Record_Guide,175.86
http://dbpedia.org/resource/Asimov's_Biographical_Encyclopedia_of_Science_and_Technology,Asimov's Biographical Encyclopedia of Science and Technology,http://dbpedia.org/resource/Asimov's_Biographical_Encyclopedia_of_Science_and_Technology,173.945
http://dbpedia.org/resource/Uncle_Tom's_Cabin,Uncle Tom's Cabin,http://dbpedia.org/resource/Uncle_Tom's_Cabin,172.045
http://dbpedia.org/resource/The_Last_Dive,The Last Dive,http://dbpedia.org/resource/The_Last_Dive,165.935
http://dbpedia.org/resource/Zoo_City,Zoo City,http://dbpedia.org/resource/Zoo_City,165.745
