id,label,source,score
http://dbpedia.org/resource/Lake_Tahoe,Lake Tahoe,Q169962,1747.2499999999998
http://dbpedia.org/resource/Lake_Erie,Lake Erie,Q5492,1590.75
http://dbpedia.org/resource/Pallikaranai_wetland,Pallikaranai wetland,Q7127876,1317.5
http://dbpedia.org/resource/Quabbin_Reservoir,Quabbin Reservoir,Q1124827,1261.3999999999999
http://dbpedia.org/resource/Dead_Sea,Dead Sea,Q23883,1238.75
http://dbpedia.org/resource/Lake_Michigan,Lake Michigan,Q1169,1180.8
http://dbpedia.org/resource/Lake_Vostok,Lake Vostok,Q152044,1087.1499999999999
http://dbpedia.org/resource/Lake_Baikal,Lake Baikal,Q5513,1044.0
http://dbpedia.org/resource/Chilika_Lake,Chilika Lake,Q2047322,1036.3
http://dbpedia.org/resource/Rogers_Dry_Lake,Rogers Dry Lake,Q1451247,1002.4499999999999
http://dbpedia.org/resource/Dal_Lake,Dal Lake,Q325391,962.2499999999999
http://dbpedia.org/resource/Lake_Superior,Lake Superior,Q1066,954.3
http://dbpedia.org/resource/Lake_Burley_Griffin,Lake Burley Griffin,Q1642390,942.5999999999999
http://dbpedia.org/resource/Lake_Tanganyika,Lake Tanganyika,Q5511,869.25
http://dbpedia.org/resource/Lake_Huron,Lake Huron,Q1383,856.5
http://dbpedia.org/resource/Lake_Ohrid,Lake Ohrid,Q156258,845.3499999999999
http://dbpedia.org/resource/Lake_Ontario,Lake Ontario,Q1062,822.85
http://dbpedia.org/resource/Sea_of_Galilee,Sea of Galilee,Q126982,798.4
http://dbpedia.org/resource/Lake_Agassiz,Lake Agassiz,Q390804,787.7999999999998
http://dbpedia.org/resource/Lake_Turkana,Lake Turkana,Q182719,751.1
http://dbpedia.org/resource/Lake_Malawi,Lake Malawi,Q5532,746.45
http://dbpedia.org/resource/Thirlmere,Thirlmere,Q1480464,666.9499999999999
http://dbpedia.org/resource/Lake_CECs,Lake CECs,Q20031724,665.25
http://dbpedia.org/resource/Glenrock_Lagoon,Glenrock Lagoon,Q5569288,629.9999999999999
http://dbpedia.org/resource/Chew_Valley_Lake,Chew Valley Lake,Q3044337,618.1
http://dbpedia.org/resource/Haggetts_Pond,Haggetts Pond,Q5638700,588.4
http://dbpedia.org/resource/Lake_Geneva,Lake Geneva,Q6403,583.55
http://dbpedia.org/resource/The_Loe,The Loe,Q6977674,582.0
http://dbpedia.org/resource/Deep_Creek_Lake,Deep Creek Lake,Q14213258,572.65
http://dbpedia.org/resource/Kankaria_Lake,Kankaria Lake,Q16384,557.15
http://dbpedia.org/resource/Lake_Norman,Lake Norman,Q1801020,552.2
http://dbpedia.org/resource/Lake_Travis,Lake Travis,Q1625606,548.1999999999999
http://dbpedia.org/resource/Lake_Chicago,Lake Chicago,Q6475314,538.1999999999999
http://dbpedia.org/resource/Issyk-Kul,Issyk-Kul,Q42191,530.1999999999999
http://dbpedia.org/resource/Lake_Austin,Lake Austin,Q1128082,519.65
http://dbpedia.org/resource/Detroit_Lake,Detroit Lake,Q1201542,516.75
http://dbpedia.org/resource/Lake_Vyrnwy,Lake Vyrnwy,Q2248798,499.9
http://dbpedia.org/resource/Okanagan_Lake,Okanagan Lake,Q525072,496.6
http://dbpedia.org/resource/Elan_Valley_Reservoirs,Elan Valley Reservoirs,Q5353391,484.45
http://dbpedia.org/resource/Lake_Oroville,Lake Oroville,Q6477226,468.29999999999995
http://dbpedia.org/resource/Lake_Stanley,Lake Stanley,Q85775672,455.7
http://dbpedia.org/resource/Jurong_Lake,Jurong Lake,Q6315365,454.05
http://dbpedia.org/resource/Llangorse_Lake,Llangorse Lake,Q2704839,452.95
http://dbpedia.org/resource/Manasbal_Lake,Manasbal Lake,Q2089664,446.79999999999995
http://dbpedia.org/resource/Berijam_Lake,Berijam Lake,Q4891811,439.75
http://dbpedia.org/resource/Lake_Mead,Lake Mead,Q654515,427.8
http://dbpedia.org/resource/Nipissing_Great_Lakes,Nipissing Great Lakes,Q17104900,425.9
http://dbpedia.org/resource/Lake_Merritt,Lake Merritt,Q3623431,425.45
http://dbpedia.org/resource/Avoca_Lake,Avoca Lake,Q14934755,423.84999999999997
http://dbpedia.org/resource/Lake_Chad,Lake Chad,Q125309,417.54999999999995
http://dbpedia.org/resource/Clear_Lake_(California),Clear Lake (California),Q1099503,404.8
http://dbpedia.org/resource/Great_Bear_Lake,Great Bear Lake,Q5525,401.59999999999997
http://dbpedia.org/resource/Crater_Lake,Crater Lake,Q329266,401.15
