id,label,source,score
http://dbpedia.org/resource/Maus,Maus,Q59696,1369.8999999999999
http://dbpedia.org/resource/The_Irregular_at_Magic_High_School,The Irregular at Magic High School,Q5357270,1311.5
http://dbpedia.org/resource/Watchmen,Watchmen,Q128444,1202.4999999999998
http://dbpedia.org/resource/Sword_Art_Online,Sword Art Online,Q27863,1193.55
http://dbpedia.org/resource/A_Certain_Magical_Index,A Certain Magical Index,Q277021,1108.1
http://dbpedia.org/resource/Aria_the_Scarlet_Ammo,Aria the Scarlet Ammo,Q483568,1105.3999999999999
http://dbpedia.org/resource/Monogatari_(series),Monogatari (series),Q4773554,1027.3
http://dbpedia.org/resource/Maria-sama_ga_Miteru,Maria-sama ga Miteru,Q482466,1008.2999999999998
http://dbpedia.org/resource/No_Game_No_Life,No Game No Life,Q11325839,986.4999999999999
http://dbpedia.org/resource/The_Call_of_the_Wild,The Call of the Wild,Q476871,958.1500000000001
http://dbpedia.org/resource/Beloved_(novel),Beloved (novel),Q971767,948.8499999999999
http://dbpedia.org/resource/Oreimo,Oreimo,Q483535,938.1499999999999
http://dbpedia.org/resource/Shakugan_no_Shana,Shakugan no Shana,Q119534,931.4
http://dbpedia.org/resource/Cheshire_Crossing,Cheshire Crossing,Q96374858,923.0
http://dbpedia.org/resource/Louis_Riel_(comics),Louis Riel (comics),Q928393,911.95
http://dbpedia.org/resource/Date_A_Live,Date A Live,Q182548,908.65
http://dbpedia.org/resource/Accel_World,Accel World,Q53351,898.25
http://dbpedia.org/resource/Ascendance_of_a_Bookworm,Ascendance of a Bookworm,Q22130305,870.3999999999999
http://dbpedia.org/resource/KonoSuba,KonoSuba,Q19750843,862.4499999999999
http://dbpedia.org/resource/Haganai,Haganai,Q482870,849.4499999999999
http://dbpedia.org/resource/How_a_Realist_Hero_Rebuilt_the_Kingdom,How a Realist Hero Rebuilt the Kingdom,Q41497704,826.0999999999999
http://dbpedia.org/resource/Lost_Girls_(graphic_novel),Lost Girls (graphic novel),Q2553829,795.8
http://dbpedia.org/resource/Haruhi_Suzumiya,Haruhi Suzumiya,Q498992,783.55
http://dbpedia.org/resource/Death_March_to_the_Parallel_World_Rhapsody,Death March to the Parallel World Rhapsody,Q21015467,781.5999999999999
http://dbpedia.org/resource/Overlord_(novel_series),Overlord (novel series),Q11293422,743.3499999999999
http://dbpedia.org/resource/Library_War,Library War,Q1207491,736.35
http://dbpedia.org/resource/Restaurant_to_Another_World,Restaurant to Another World,Q28417677,735.4999999999999
http://dbpedia.org/resource/S-CRY-ed,S-CRY-ed,Q3181180,720.45
