id,label,source,score
Q109005,Sandefjord Municality,Q109005,232.89500000000004
Q2415,Kristiansand Municipality,Q2415,222.40499999999997
Q25416,Stavanger Municipality,Q25416,182.055
Q26087,Tromsø Municipality,Q26087,139.35
Q6459,Kautokeino,Q6459,129.455
Q101341,Lillehammer Municipality,Q101341,122.71499999999999
Q156125,Larvik,Q156125,119.47500000000001
Q104095,Molde Municipality,Q104095,113.99000000000001
Q62266,Ålesund Municipality,Q62266,111.44500000000001
Q57076,Bærum,Q57076,104.235
Q1215658,Narvik Municipality,Q1215658,102.98
Q26525,Drammen Municipality,Q26525,102.62
Q57919,Arendal,Q57919,101.0
Q221119,Bodø Municipality,Q221119,100.905
Q110431,Steinkjer Municipality,Q110431,100.40500000000002
Q107351,Hammerfest Municipality,Q107351,99.06
Q62140,Harstad Municipality,Q62140,96.335
Q107392,Tønsberg,Q107392,95.63999999999999
Q109031,Voss,Q109031,95.16500000000002
Q111039,Namsos Municipality,Q111039,92.15500000000002
Q2229,Nissedal,Q2229,90.675
Q6535,Alta,Q6535,88.395
Q109483,Kristiansund Municipality,Q109483,86.47500000000001
Q490923,Sogndal Municipality,Q490923,81.63499999999999
Q109036,Haugesund Municipality,Q109036,81.38499999999999
Q217802,Stjørdal Municipality,Q217802,81.315
Q108031,Gjøvik Municipality,Q108031,81.205
Q484070,Kvinnherad,Q484070,80.105
Q484322,Rana Municipality,Q484322,80.06
Q216430,Levanger Municipality,Q216430,79.98500000000001
Q108988,Kongsberg Municipality,Q108988,78.745
Q503612,Luster Municipality,Q503612,78.69000000000001
Q109140,Elverum,Q109140,78.52000000000001
Q109499,Kongsvinger Municipality,Q109499,78.42000000000002
Q48529,Trysil,Q48529,77.305
Q27587,Sandnes Municipality,Q27587,77.045
Q483885,Porsanger,Q483885,76.81
Q48827,Sør-Varanger,Q48827,76.31499999999998
Q113466,Ringsaker Municipality,Q113466,75.28500000000001
Q493481,Flekkefjord Municipality,Q493481,74.97500000000001
Q5223,Stryn Municipality,Q5223,74.305
Q108999,Røros Municipality,Q108999,73.065
Q109042,Halden Municipality,Q109042,72.06499999999998
Q499455,Bremanger,Q499455,71.97500000000001
Q113595,Oppdal,Q113595,71.82000000000001
Q109025,Hitra,Q109025,71.665
Q270835,Åfjord,Q270835,71.415
Q505952,Lyngdal,Q505952,71.365
Q488762,Melhus Municipality,Q488762,71.13
Q486700,Aurland,Q486700,70.78500000000001
Q503660,Verdal,Q503660,70.58999999999999
Q215374,Askøy,Q215374,70.50500000000001
Q483902,Karmøy Municipality,Q483902,70.36999999999999
Q90590,Grimstad,Q90590,70.15
Q483964,Tana,Q483964,70.08500000000001
Q308245,Ørland,Q308245,69.94
Q503654,Vefsn,Q503654,69.765
Q488779,Tynset,Q488779,69.72500000000001
Q104400,Hamar Municipality,Q104400,69.67999999999999
Q485253,Stord,Q485253,69.485
Q107135,Fredrikstad Municipality,Q107135,69.405
Q217793,Gulen,Q217793,68.925
Q383492,Gloppen,Q383492,68.32000000000001
Q48696,Fauske,Q48696,68.295
Q308420,Østre Toten,Q308420,68.29
Q1825,Karasjok,Q1825,68.255
Q488747,Kvinesdal,Q488747,68.19
Q500227,Vennesla,Q500227,68.085
Q2245,Vinje Municipality,Q2245,67.92999999999999
Q303521,Vik,Q303521,67.8
Q487538,Hamarøy,Q487538,67.42
Q492209,Selbu,Q492209,67.39
Q484008,Austevoll,Q484008,67.105
Q488970,Inderøy,Q488970,66.69500000000001
Q487529,Kvam,Q487529,66.59500000000001
Q2272,Skien,Q2272,66.38499999999999
Q90595,Risør,Q90595,66.175
Q90597,Tvedestrand,Q90597,65.995
Q113552,Bømlo,Q113552,65.985
Q504817,Askvoll Municipality,Q504817,65.89
Q48844,Sortland,Q48844,65.765
Q104379,Vadsø Municipality,Q104379,65.735
Q501518,Gran,Q501518,65.71000000000001
Q90593,Lillesand,Q90593,65.57000000000001
Q490246,Vågan,Q490246,65.35000000000001
Q88810,Froland,Q88810,64.59
Q88802,Birkenes,Q88802,64.37
Q488975,Lærdal,Q488975,64.235
Q88808,Evje og Hornnes,Q88808,64.13
Q113720,Høyanger,Q113720,64.075
Q488445,Volda,Q488445,64.065
Q488955,Målselv Municipality,Q488955,64.035
Q493988,Malvik Municipality,Q493988,63.965
Q484043,Hadsel,Q484043,63.575
Q90601,Åmli,Q90601,63.46000000000001
Q88804,Bygland,Q88804,63.375
Q108025,Sarpsborg Municipality,Q108025,63.275000000000006
Q484074,Nord-Aurdal,Q484074,62.215
Q48542,Stange,Q48542,62.11000000000001
